unique_id,0,1,2,3,4
1961238d-7eb3-4aa0-945d-2cfe60fe38b8,13.261746,3.1279564,9.164746,19.969547,-1.8950438
909abf32-49c6-46d0-b63a-aa1fee7bdb78,14.104485,4.479153,9.0774,21.204845,-3.9403224
37727d83-1d70-4a07-ac3b-447c790054c8,15.656601,4.8688984,10.595344,21.376278,-4.438518
16cbb79e-0104-4ca0-9635-4d6b39e34c47,13.90819,5.054994,10.240463,20.30992,-2.8800035
d2aa73f9-e181-41cf-920f-8053745f01e6,11.696995,4.606907,9.208848,21.847708,-3.3559024
65886297-e287-4de7-8920-f1aee89b8c1b,14.790259,4.7050056,10.022253,21.843462,-5.98087
6a90cfbe-2d4d-4266-90a5-a0a9eca7c504,11.555041,4.577529,9.2715435,21.92033,-3.376057
8b867fe7-6bd7-46f2-ac90-1cae05d9b00a,14.048569,4.744739,8.681744,21.403196,-3.730843
6e5cd9e4-324b-4a14-a967-dfb247bdf4a1,13.79064,4.7567024,8.678956,21.224434,-3.9604893
e8bb23c1-3935-43a1-bb02-dc646b4a1a99,13.86482,4.9060698,11.30712,19.236221,-4.1332397
4e592c85-0f24-4a27-8dae-022cda02e47b,13.813103,3.1510203,9.13216,19.729794,-1.9837081
7c26a254-ced8-4077-999b-69bffa4a10b1,13.477695,5.396707,9.269583,19.672064,-4.6753674
a27c0e78-82d0-4b81-96ae-725addeaf979,15.060465,3.8617158,10.069013,20.790073,-4.87251
a17adcac-4472-41bd-8552-9589f2e962d2,14.242295,3.5741541,9.461862,21.185911,-4.633137
14be36e0-ec36-4c91-b6c8-129a149479a0,15.362151,4.0623713,9.511908,21.250036,-4.6406307
2a7bd6d2-814e-4255-9709-d40641683206,15.231434,4.0415716,8.67435,20.785875,-4.680565
868ce6c1-30e8-4160-894b-806e6b61f575,13.658673,5.2489724,11.244961,19.341257,-4.3481402
d7672c8b-c23b-4a37-99db-e076ad4a4be6,13.442385,4.175375,8.534236,20.621408,-5.1200275
a810c6c5-6b1d-4503-92a8-900b0048c10f,13.680869,4.089979,9.56232,20.570541,-3.3548489
b3582bd7-16f3-4891-af57-9ebe801f420d,13.016071,6.263323,8.045864,20.66235,-3.8165233
fff985d5-1f2a-4fbe-9f67-3c3f248c9b1c,14.21285,3.6406274,9.583819,20.916794,-3.9383283
b69a0ac4-ca4a-4bc6-b8ed-fe40b479b99c,13.704385,5.451989,9.230075,19.761314,-2.7877905
676fea72-5196-4c8a-9960-2c0f51c24b53,14.240661,5.0750203,9.382707,20.041636,-4.070304
4029c86d-22c4-48d1-ad42-b8a4920094c5,12.935935,6.115025,8.006355,20.591902,-3.7944307
4fb9b2df-e28e-4fe0-b3a5-9debd83fde95,13.555919,3.7357807,9.697028,19.273699,-4.235028
8fc8e64a-b6c0-4600-9f78-b56cee8af2f7,15.461427,4.2786036,10.048713,21.41093,-5.0629144
ae3d824e-c167-4272-a434-deab880b0eb5,13.82023,3.9385588,9.7584095,20.907162,-4.0813303
1c6c72f2-1eac-4209-bcb1-350efe1ace41,15.533391,4.960096,10.494501,21.137203,-4.678624
b6656b1c-a5b1-4743-bcf6-e8a578d2d5a0,13.326595,5.528036,9.593073,20.958971,-5.084978
d9f254ba-0566-4785-9bc8-71a34c7b3747,13.503693,5.679651,9.551073,19.92418,-5.127883
67b1cca8-9cb3-433d-8651-7c7d097925c6,14.7650795,4.6831846,8.816613,20.413313,-5.8199496
b0ee117e-bb13-4001-b3c8-882b7f173ea0,15.123672,5.4702573,8.595928,21.581278,-3.3351254
90d53ff8-6c84-4677-8083-bd8ab6ba7148,13.725602,3.1516109,8.996396,20.320341,-2.8511689
9c0328ad-8832-4fd5-8b47-72dca5b3b3e3,15.2154665,4.3121953,9.231058,21.254011,-4.473587
93106e98-3f47-4660-85c4-e55bcc354e63,13.495237,3.1357505,9.106501,19.59475,-2.3067682
